case,topic_filter,topic,valid,error_code,match,spec_valid,spec_match,source,note
U2a,+,sport,TRUE,0,TRUE,TRUE,TRUE,Test MQTT-4.7.1-2.vi frame 1; spec 4.7.1.3,upstream test expects no error
U2b,MQTT/+/Topic,MQTT/x/Topic,FALSE,55043,-,TRUE,TRUE,Test MQTT-4.7.1-2.vi frame 2; spec 4.7.1.3,DEVIATION: upstream test expects error 55043 ('+' must be last) - spec allows '+' at any level
U2c,MQTT+,MQTT,FALSE,55044,-,FALSE,-,Test MQTT-4.7.1-2.vi frame 3; spec 4.7.1.3 'sport+' is not valid,upstream test expects error 55044; spec rejects for a different reason ('+' must occupy a whole level)
U2d,MQTT/+,MQTT/x,TRUE,0,TRUE,TRUE,TRUE,Test MQTT-4.7.1-2.vi frame 4; spec 4.7.1.3,upstream test expects no error
U3a,#,sport/tennis,TRUE,0,TRUE,TRUE,TRUE,Test MQTT-4.7.1-3.vi frame 1; spec 4.7.1.2 '#' is valid,upstream test expects no error
U3b,MQTT/#/Topic,MQTT/x/Topic,TRUE,0,TRUE,FALSE,-,Test MQTT-4.7.1-3.vi frame 2; spec 4.7.1.2 '#' must be last,DEVIATION: upstream test expects no error - spec says '#' must be the last character
U3c,MQTT/#,MQTT/a/b,TRUE,0,TRUE,TRUE,TRUE,Test MQTT-4.7.1-3.vi frame 3; spec 4.7.1.2,upstream test expects no error
U3d,MQTT#,MQTT,FALSE,55045,-,FALSE,-,Test MQTT-4.7.1-3.vi frame 4; spec 4.7.1.2 'sport/tennis#' is not valid,upstream test expects error 55045
U3e,MQTT#FILTER,MQTT,FALSE,55045,-,FALSE,-,Test MQTT-4.7.1-3.vi frame 5; spec 4.7.1.2,upstream test expects error 55045
S01,sport/tennis/player1/#,sport/tennis/player1,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.2 non-normative example,'#' includes the parent level
S02,sport/tennis/player1/#,sport/tennis/player1/ranking,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.2 non-normative example,
S03,sport/tennis/player1/#,sport/tennis/player1/score/wimbledon,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.2 non-normative example,
S04,sport/tennis/player1/#,sport/tennis/player2,TRUE,0,FALSE,TRUE,FALSE,spec 4.7.1.2 (derived),literal level differs
S05,sport/#,sport,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.2 non-normative example,
S06,#,$SYS/broker,TRUE,0,FALSE,TRUE,FALSE,spec 4.7.2 non-normative example,'#' must not match topics starting with '$'
S07,sport/tennis/#,sport/tennis/x,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.2 non-normative example,
S08,sport/tennis#,sport/tennis,FALSE,55045,-,FALSE,-,spec 4.7.1.2 non-normative example,
S09,sport/tennis/#/ranking,sport/tennis/x/ranking,TRUE,0,TRUE,FALSE,-,spec 4.7.1.2 non-normative example,DEVIATION: diagram accepts '#' in the middle of a filter - spec says it must be last
S10,sport/tennis/+,sport/tennis/player1,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.3 non-normative example,
S11,sport/tennis/+,sport/tennis/player1/ranking,TRUE,0,TRUE,TRUE,FALSE,spec 4.7.1.3 non-normative example,DEVIATION: diagram only compares the filter's own levels so a longer topic matches - spec says '+' matches one level
S12,sport/+,sport,TRUE,0,TRUE,TRUE,FALSE,spec 4.7.1.3 non-normative example,DEVIATION: diagram matches a topic with fewer levels than the filter (missing level reads as empty) - spec says no match
S13,sport/+,sport/,TRUE,0,TRUE,TRUE,TRUE,spec 4.7.1.3 non-normative example,
S14,+/tennis/#,x/tennis/y,FALSE,55043,-,TRUE,TRUE,spec 4.7.1.3 non-normative example '+/tennis/#' is valid,DEVIATION: diagram rejects '+' anywhere but the end - spec allows it at any level
S15,sport+,sport,FALSE,55044,-,FALSE,-,spec 4.7.1.3 non-normative example,both reject; diagram code is 55044 because the byte before the final '+' is not '/' (same path as U2c)
