step,setpoint_c,sample_idx,t_ms,temp_cc,acc_z
1,25,0,120000,2498,8190
1,25,1,121000,2502,8195
1,25,2,122000,2501,8188
1,25,3,123000,2499,8201
1,25,4,124000,2503,8193
1,25,5,125000,2497,8190
1,25,6,126000,2500,8197
1,25,7,127000,2504,8186
2,50,0,248000,5010,8200
2,50,1,249000,5020,8210
2,50,2,250000,5030,8205
2,50,3,251000,5015,8195
2,50,4,252000,5025,8215
2,50,5,253000,5035,8208
2,50,6,254000,5040,8202
2,50,7,255000,5013,8199
3,75,0,376000,7300,8100
3,75,1,377000,7310,8120
3,75,2,378000,7320,8090
3,75,3,379000,7330,8110
3,75,4,380000,7340,8080
3,75,5,381000,7350,8130
3,75,6,382000,7360,8095
3,75,7,383000,7370,8105
